RNA	RNA_class	miRBase_Last_Version	miRBase_accession	miRBase_family	circRNA_accession	organism	exRNA_type	sample	disease_or_cell_line	PubMed_ID	method	description
	miRNA	hsa-miR-99b-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-654-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-543				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-542-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-502-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-501-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-495-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-493-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-450b-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-4433b-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-409-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-381-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-378a-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-375-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-374a-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-370-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-363-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-342-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-340-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-338-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-335-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-32-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-3168				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-224-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-223-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-221-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-215-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-20a-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-199a-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-199a-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-197-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-193a-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-150-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-146b-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-146a-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-144-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-142-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-139-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-126-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-1246				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-1228-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-11400				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-1-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-99b-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-654-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-543				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-542-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-502-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-501-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-495-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-493-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-450b-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-4433b-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-409-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-381-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-378a-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-375-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-374a-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-370-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-363-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-342-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-340-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-338-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-335-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-32-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-3168				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-224-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-223-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-221-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-215-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-20a-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-199a-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-199a-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-197-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-193a-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-150-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-146b-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-146a-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-144-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-142-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-139-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-126-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-1246				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-1228-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-11400				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-1-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-99b-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-654-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-543				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-542-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-502-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-501-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-495-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-493-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-450b-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-4433b-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-409-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-381-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-378a-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-375-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-374a-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-370-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-363-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-342-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-340-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-338-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-335-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-32-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-3168				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-224-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-223-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-221-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-215-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-20a-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-199a-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-199a-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-197-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-193a-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-150-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-146b-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-146a-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-144-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-142-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-139-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-126-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-1246				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-1228-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-11400				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-1-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-Pneumonia	34956213		
	miRNA	hsa-miR-654-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-582-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-486-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-4433b-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-4433b-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-432-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-378a-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-340-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-335-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-3168				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-206				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-200a-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-199a-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-1228-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-1-3p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-let-7e-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-let-7d-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-let-7c-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-let-7b-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-let-7a-5p				Homo sapiens	exosome	Series1_NHBE_Mock	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-654-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-582-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-486-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-4433b-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-4433b-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-432-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-378a-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-340-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-335-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-3168				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-206				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-200a-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-199a-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-1228-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-1-3p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-let-7e-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-let-7d-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-let-7c-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-let-7b-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-let-7a-5p				Homo sapiens	exosome	Series1_NHBE_SARS-CoV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-654-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-582-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-486-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-4433b-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-4433b-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-432-5p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-378a-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-340-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-335-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-3168				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-206				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-ARDS	34956213 (CA)		
	miRNA	hsa-miR-200a-3p				Homo sapiens	exosome	Series9_NHBE_IAV	CoV-ARDS	34956213 (CA)		
